"# Channel 1"
"# Trace 1"
Power, Formatted Data, Formatted Data
-4.00000000000E+001, +1.49066308329E+001, +0.00000000000E+000
-3.98000000000E+001, +1.49234368035E+001, +0.00000000000E+000
-3.96000000000E+001, +1.48292949903E+001, +0.00000000000E+000
-3.94000000000E+001, +1.48685719580E+001, +0.00000000000E+000
-3.92000000000E+001, +1.48712352478E+001, +0.00000000000E+000
-3.90000000000E+001, +1.49385903909E+001, +0.00000000000E+000
-3.88000000000E+001, +1.49745460653E+001, +0.00000000000E+000
-3.86000000000E+001, +1.48431676314E+001, +0.00000000000E+000
-3.84000000000E+001, +1.48672238439E+001, +0.00000000000E+000
-3.82000000000E+001, +1.48459352751E+001, +0.00000000000E+000
-3.80000000000E+001, +1.49161595754E+001, +0.00000000000E+000
-3.78000000000E+001, +1.48733474086E+001, +0.00000000000E+000
-3.76000000000E+001, +1.48222695899E+001, +0.00000000000E+000
-3.74000000000E+001, +1.49208264766E+001, +0.00000000000E+000
-3.72000000000E+001, +1.48095133222E+001, +0.00000000000E+000
-3.70000000000E+001, +1.48681123378E+001, +0.00000000000E+000
-3.68000000000E+001, +1.48658318365E+001, +0.00000000000E+000
-3.66000000000E+001, +1.48714204954E+001, +0.00000000000E+000
-3.64000000000E+001, +1.48918175138E+001, +0.00000000000E+000
-3.62000000000E+001, +1.48450194125E+001, +0.00000000000E+000
-3.60000000000E+001, +1.48874031935E+001, +0.00000000000E+000
-3.58000000000E+001, +1.48328521488E+001, +0.00000000000E+000
-3.56000000000E+001, +1.48664059786E+001, +0.00000000000E+000
-3.54000000000E+001, +1.47910240912E+001, +0.00000000000E+000
-3.52000000000E+001, +1.48310116355E+001, +0.00000000000E+000
-3.50000000000E+001, +1.48880328866E+001, +0.00000000000E+000
-3.48000000000E+001, +1.48992664809E+001, +0.00000000000E+000
-3.46000000000E+001, +1.48986065552E+001, +0.00000000000E+000
-3.44000000000E+001, +1.48858446971E+001, +0.00000000000E+000
-3.42000000000E+001, +1.48821593570E+001, +0.00000000000E+000
-3.40000000000E+001, +1.48741942990E+001, +0.00000000000E+000
-3.38000000000E+001, +1.48820209561E+001, +0.00000000000E+000
-3.36000000000E+001, +1.49043702588E+001, +0.00000000000E+000
-3.34000000000E+001, +1.48984482371E+001, +0.00000000000E+000
-3.32000000000E+001, +1.48653348288E+001, +0.00000000000E+000
-3.30000000000E+001, +1.48489970553E+001, +0.00000000000E+000
-3.28000000000E+001, +1.48724587140E+001, +0.00000000000E+000
-3.26000000000E+001, +1.48732823819E+001, +0.00000000000E+000
-3.24000000000E+001, +1.48652421261E+001, +0.00000000000E+000
-3.22000000000E+001, +1.48535908654E+001, +0.00000000000E+000
-3.20000000000E+001, +1.48921446943E+001, +0.00000000000E+000
-3.18000000000E+001, +1.48712993813E+001, +0.00000000000E+000
-3.16000000000E+001, +1.48525031535E+001, +0.00000000000E+000
-3.14000000000E+001, +1.48686658984E+001, +0.00000000000E+000
-3.12000000000E+001, +1.48899016234E+001, +0.00000000000E+000
