"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+008, +1.50057819277E+001, +0.00000000000E+000
+1.07000000000E+008, +1.50203161737E+001, +0.00000000000E+000
+1.14000000000E+008, +1.50483984215E+001, +0.00000000000E+000
+1.21000000000E+008, +1.50456242174E+001, +0.00000000000E+000
+1.28000000000E+008, +1.50307917612E+001, +0.00000000000E+000
+1.35000000000E+008, +1.50044821162E+001, +0.00000000000E+000
+1.42000000000E+008, +1.50280118102E+001, +0.00000000000E+000
+1.49000000000E+008, +1.50294163935E+001, +0.00000000000E+000
+1.56000000000E+008, +1.50176617821E+001, +0.00000000000E+000
+1.63000000000E+008, +1.49799330395E+001, +0.00000000000E+000
+1.70000000000E+008, +1.49598547640E+001, +0.00000000000E+000
+1.77000000000E+008, +1.49325509099E+001, +0.00000000000E+000
+1.84000000000E+008, +1.49010175188E+001, +0.00000000000E+000
+1.91000000000E+008, +1.48652359301E+001, +0.00000000000E+000
+1.98000000000E+008, +1.48586067815E+001, +0.00000000000E+000
+2.05000000000E+008, +1.48444437064E+001, +0.00000000000E+000
+2.12000000000E+008, +1.48106564541E+001, +0.00000000000E+000
+2.19000000000E+008, +1.48006038853E+001, +0.00000000000E+000
+2.26000000000E+008, +1.47750397694E+001, +0.00000000000E+000
+2.33000000000E+008, +1.47434671804E+001, +0.00000000000E+000
+2.40000000000E+008, +1.47366590309E+001, +0.00000000000E+000
+2.47000000000E+008, +1.47403451638E+001, +0.00000000000E+000
+2.54000000000E+008, +1.47352595934E+001, +0.00000000000E+000
+2.61000000000E+008, +1.47351096099E+001, +0.00000000000E+000
+2.68000000000E+008, +1.47213337983E+001, +0.00000000000E+000
+2.75000000000E+008, +1.47265779848E+001, +0.00000000000E+000
+2.82000000000E+008, +1.47110314507E+001, +0.00000000000E+000
+2.89000000000E+008, +1.46857667562E+001, +0.00000000000E+000
+2.96000000000E+008, +1.46680388145E+001, +0.00000000000E+000
+3.03000000000E+008, +1.46608270996E+001, +0.00000000000E+000
+3.10000000000E+008, +1.46300562987E+001, +0.00000000000E+000
+3.17000000000E+008, +1.45986015985E+001, +0.00000000000E+000
+3.24000000000E+008, +1.45819447687E+001, +0.00000000000E+000
+3.31000000000E+008, +1.45780999842E+001, +0.00000000000E+000
+3.38000000000E+008, +1.45674559049E+001, +0.00000000000E+000
+3.45000000000E+008, +1.45317139020E+001, +0.00000000000E+000
+3.52000000000E+008, +1.45050699641E+001, +0.00000000000E+000
+3.59000000000E+008, +1.44889397009E+001, +0.00000000000E+000
+3.66000000000E+008, +1.44866758938E+001, +0.00000000000E+000
+3.73000000000E+008, +1.44881710120E+001, +0.00000000000E+000
+3.80000000000E+008, +1.44827695499E+001, +0.00000000000E+000
+3.87000000000E+008, +1.44870941864E+001, +0.00000000000E+000
+3.94000000000E+008, +1.44739624224E+001, +0.00000000000E+000
+4.01000000000E+008, +1.44601411791E+001, +0.00000000000E+000
+4.08000000000E+008, +1.44560004531E+001, +0.00000000000E+000
+4.15000000000E+008, +1.44615880641E+001, +0.00000000000E+000
+4.22000000000E+008, +1.44618607765E+001, +0.00000000000E+000
+4.29000000000E+008, +1.44533594398E+001, +0.00000000000E+000
+4.36000000000E+008, +1.44438978421E+001, +0.00000000000E+000
+4.43000000000E+008, +1.44130029488E+001, +0.00000000000E+000
+4.50000000000E+008, +1.43876509147E+001, +0.00000000000E+000
+4.57000000000E+008, +1.43585189025E+001, +0.00000000000E+000
+4.64000000000E+008, +1.43102946726E+001, +0.00000000000E+000
+4.71000000000E+008, +1.42926227424E+001, +0.00000000000E+000
+4.78000000000E+008, +1.42551967252E+001, +0.00000000000E+000
+4.85000000000E+008, +1.42449085434E+001, +0.00000000000E+000
+4.92000000000E+008, +1.42286864285E+001, +0.00000000000E+000
+4.99000000000E+008, +1.42051489959E+001, +0.00000000000E+000
+5.06000000000E+008, +1.41831359320E+001, +0.00000000000E+000
+5.13000000000E+008, +1.41781378052E+001, +0.00000000000E+000
+5.20000000000E+008, +1.41525043251E+001, +0.00000000000E+000
+5.27000000000E+008, +1.41534147405E+001, +0.00000000000E+000
+5.34000000000E+008, +1.41221278112E+001, +0.00000000000E+000
+5.41000000000E+008, +1.41062760924E+001, +0.00000000000E+000
+5.48000000000E+008, +1.40909166167E+001, +0.00000000000E+000
+5.55000000000E+008, +1.40317945289E+001, +0.00000000000E+000
